Item Number	Category Name	Item Description	Vendor	Vendor Name	Bottle Volume (ml)	Pack	Inner Pack	Age	Proof	List Date	UPC	SCC	State Bottle Cost	State Case Cost	State Bottle Retail	Report Date
100737	Temporary & Specialty Packages	Jameson Black Barrel w/2 Glasses	370	PERNOD RICARD USA	750	6	1	0	80	11/01/2022	80432107263	90720815950231	24.25	145.50	36.38	10/01/2022
100740	Temporary & Specialty Packages	Ardbeg 10YR w/2 Outdoor Mugs	420	MOET HENNESSY USA	750	6	1	10	92	05/01/2020	850005399247	10081753841833	29.99	179.94	44.99	10/01/2022
100744	Tennessee Whiskies	Jack Daniels Tennessee Honey w/2 Rocks Glasses	085	Brown Forman Corp.	750	6	1	0	70	07/01/2021	850005399247	10082184102296	15.57	93.42	23.36	10/01/2022
100759	Temporary & Specialty Packages	Jim Beam Holiday 4 Pack Minis	065	Jim Beam Brands	200	1	48	0	80	10/01/2021	80686027010	90720815950231	24.00	24.00	36.00	10/01/2022
100771	Temporary & Specialty Packages	Platinum 7x Vodka Candy Cane	421	SAZERAC COMPANY  INC	50	1	60	0	80	11/01/2021	80432114841	10088004034907	25.80	25.80	38.70	10/01/2022
100776	Temporary & Specialty Packages	Patron Silver w/2 Mule Mugs	035	BACARDI USA INC	1750	3	1	0	80	06/01/2020		20721733004885	58.00	174.00	87.00	10/01/2022
100792	Temporary & Specialty Packages	Dalmore Port Wood Reserve w/ Glasses	205	E & J Gallo Winery	750	6	1	0	93	10/01/2022	850005399247	10087647113895	50.00	300.00	75.00	10/01/2022
100793	Temporary & Specialty Packages	WhistlePig 18YR Double Malt	214	GoAmericaGo Beverages LLC / WhistlePig	750	3	1	18	92	06/01/2021	850001901154	10088004040724	200.00	600.00	300.00	10/01/2022
100795	Temporary & Specialty Packages	Johnnie Walker Black w/2-50mls	260	DIAGEO AMERICAS	750	6	1	0	80	09/01/2022	80432116227	10088076185941	21.99	131.94	32.99	10/01/2022
100807	Temporary & Specialty Packages	Templeton Rye 4YR w/4 Whiskey Stones	255	Infinium Spirits	750	6	1	4	80	09/01/2020	720815921436	10088004040724	18.09	108.54	27.14	10/01/2022
100808	Temporary & Specialty Packages	Barenjager Honey w/Collins Cocktail Glass	338	Marussia Beverages USA, Inc / Niche Import	750	6	1	0	70	10/01/2020	80368533006	10088004040724	14.92	89.52	22.38	10/01/2022
100813	Temporary & Specialty Packages	Frangelico Liqueur w/French Press	619	Campari America	750	6	1	0	80	10/01/2020	721059001373	10087647113895	14.50	87.00	21.75	10/01/2022
100815	Temporary & Specialty Packages	Baileys Mini Multi Pack	260	DIAGEO AMERICAS	50	6	12	0	34	09/01/2022	88076185890	20096749001068	12.50	75.00	18.75	10/01/2022
100843	Temporary & Specialty Packages	Glenlivet 12YR w/14YR 50ml	370	PERNOD RICARD USA	800	12	2	12	80	03/01/2020	80432400630	10087647113895	24.98	299.76	37.47	10/01/2022
100844	Temporary & Specialty Packages	Pendleton Canadian Whiskey w/Belt Buckle	395	PROXIMO	1750	6	1	3	80	09/01/2022	811538019361	10087647113895	26.50	159.00	39.75	10/01/2022
100847	Whiskey Liqueur	Fireball Cinnamon Whiskey Candy Canes	421	SAZERAC COMPANY  INC	50	1	120	0	66	09/01/2022		10088004035898	51.60	51.60	77.40	10/01/2022
100854	Temporary & Specialty Packages	Ardbeg 19YR Gift Box 2021 Edition	420	MOET HENNESSY USA	750	6	1	19	92	09/01/2021	81753835071	90720815950231	149.99	899.94	224.99	10/01/2022
100855	Temporary & Specialty Packages	Makers Mark Generations Tri-Pack	065	Jim Beam Brands	375	3	3	0	110	10/01/2021	81753835071	10085246501853	42.50	127.50	63.75	10/01/2022
100861	American Cordials & Liqueur	99 Party Bucket Minis	421	SAZERAC COMPANY  INC	50	1	120	0	99	09/01/2021	80432116227	10088004034228	51.60	51.60	77.40	10/01/2022
100856	Temporary & Specialty Packages	Old Forester Old Fashion w/2oz Syrup	085	Brown Forman Corp.	750	12	1	0	100	08/01/2020	81128001063	10088004034907	11.80	141.60	17.70	10/01/2022
100862	Temporary & Specialty Packages	99 Brand Candy Canes	421	SAZERAC COMPANY  INC	50	1	120	0	99	09/01/2022	81753835071	10088004035874	51.60	51.60	77.40	10/01/2022
100865	Temporary & Specialty Packages	Crown Royal Regal Apple w/ 2 Glasses VAP	260	DIAGEO AMERICAS	750	6	1	0	70	09/01/2022	82000792208	20096749001068	17.49	104.94	26.24	10/01/2022
100891	Temporary & Specialty Packages	Diplomatico Reserva Exclusiva w/ 2 Rocks Glasses	205	E & J Gallo Winery	750	6	1	0	80	10/01/2022	759400362941	10088004034228	22.50	135.00	33.75	10/01/2022
100892	Temporary & Specialty Packages	Diplomatico Reserva Exclusiva w/Glasses	205	E & J Gallo Winery	750	6	1	0	80	11/01/2020	81128001063	17594003626355	20.00	120.00	30.00	10/01/2022
100901	Temporary & Specialty Packages	Old Elk Blended Bourbon VAP	536	Old Elk Distilleries LLC	750	6	1	5	88	11/01/2021	852045007359	10088004035874	25.00	150.00	37.50	10/01/2022
100939	Cocktails/RTD	On the Rocks Combo Pack 200ml	065	Jim Beam Brands	200	6	4	0	40	04/01/2022	852045007359	10855880008304	13.00	78.00	19.50	10/01/2022
100938	Whiskey Liqueur	Fireball Valentine Pack	421	SAZERAC COMPANY  INC	50	1	120	0	66	09/01/2022	81128001063	10088004036956	51.60	51.60	77.40	10/01/2022
100941	Temporary & Specialty Packages	Hennessy XO 2020 EOY Ice Experience VAP	420	MOET HENNESSY USA	750	6	1	0	80	05/01/2021	759400362941	10081753841154	99.99	599.94	149.99	10/01/2022
100944	Temporary & Specialty Packages	Crown Royal w/2 Shot Glasses	260	DIAGEO AMERICAS	750	6	1	0	80	06/01/2022	852045007359	10082000792601	17.49	104.94	26.24	10/01/2022
