Item Number	Category Name	Item Description	Vendor	Vendor Name	Bottle Volume (ml)	Pack	Inner Pack	Age	Proof	List Date	UPC	SCC	State Bottle Cost	State Case Cost	State Bottle Retail	Report Date
100719	TEMPORARY & SPECIALTY PACKAGES	JAMESON MINI	370	PERNOD RICARD USA	50	30	4	0	80	12/01/2021	80432114841	10080686021862	2.31	69.30	3.47	10/01/2022
100737	TEMPORARY & SPECIALTY PACKAGES	JAMESON BLACK BARREL W/2 GLASSES	370	PERNOD RICARD USA	750	6	1	0	80	11/01/2022	80432107263	90720815950231	24.25	145.50	36.38	10/01/2022
100740	TEMPORARY & SPECIALTY PACKAGES	ARDBEG 10YR W/2 OUTDOOR MUGS	420	MOET HENNESSY USA	750	6	1	10	92	05/01/2020	850005399247	10081753841833	29.99	179.94	44.99	10/01/2022
100744	TENNESSEE WHISKIES	JACK DANIELS TENNESSEE HONEY W/2 ROCKS GLASSES	085	BROWN FORMAN CORP.	750	6	1	0	70	07/01/2021	850005399247	10082184102296	15.57	93.42	23.36	10/01/2022
100759	TEMPORARY & SPECIALTY PACKAGES	JIM BEAM HOLIDAY 4 PACK MINIS	065	JIM BEAM BRANDS	200	1	48	0	80	10/01/2021	80686027010	90720815950231	24.00	24.00	36.00	10/01/2022
100771	TEMPORARY & SPECIALTY PACKAGES	PLATINUM 7X VODKA CANDY CANE	421	SAZERAC COMPANY  INC	50	1	60	0	80	11/01/2021	80432114841	10088004034907	25.80	25.80	38.70	10/01/2022
100776	TEMPORARY & SPECIALTY PACKAGES	PATRON SILVER W/2 MULE MUGS	035	BACARDI USA INC	1750	3	1	0	80	06/01/2020		20721733004885	58.00	174.00	87.00	10/01/2022
100792	TEMPORARY & SPECIALTY PACKAGES	DALMORE PORT WOOD RESERVE W/ GLASSES	205	E & J GALLO WINERY	750	6	1	0	93	10/01/2022	850005399247	10087647113895	50.00	300.00	75.00	10/01/2022
100793	TEMPORARY & SPECIALTY PACKAGES	WHISTLEPIG 18YR DOUBLE MALT	214	GOAMERICAGO BEVERAGES LLC / WHISTLEPIG	750	3	1	18	92	06/01/2021	850001901154	10088004040724	200.00	600.00	300.00	10/01/2022
100795	TEMPORARY & SPECIALTY PACKAGES	JOHNNIE WALKER BLACK W/2-50MLS	260	DIAGEO AMERICAS	750	6	1	0	80	09/01/2022	80432116227	10088076185941	21.99	131.94	32.99	10/01/2022
100807	TEMPORARY & SPECIALTY PACKAGES	TEMPLETON RYE 4YR W/4 WHISKEY STONES	255	INFINIUM SPIRITS	750	6	1	4	80	09/01/2020	720815921436	10088004040724	18.09	108.54	27.14	10/01/2022
